Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
13526,JP Morgan,Cash Management Solutions Officer Sr - Business Banking - Tempe AZ,﻿Payments,15,Fintech
13527,JP Morgan,"Vice President, Infrastructure Developer",﻿Payments,37,Fintech
13528,JP Morgan,"CCB - Teller - Part Time - Westchester Central - White Plain, Scarsdale and Ardsley - Hire Ahead (G3)",Big Data,42,Fintech
13529,JP Morgan,"CCB - Teller - Part Time - Westchester Central - White Plain, Scarsdale and Ardsley - Hire Ahead (G3)",Big Data,42,Fintech
13530,JP Morgan,"CCB - Teller - Part Time - Westchester Central - White Plain, Scarsdale and Ardsley - Hire Ahead (G3)",Big Data,42,Fintech
13531,JP Morgan,CCB - Teller - Part Time - Connecticut South/Central - Hire Ahead,Big Data,42,Fintech
13532,JP Morgan,CCB - Teller - Part Time - Connecticut South/Central - Hire Ahead,Big Data,42,Fintech
13533,JP Morgan,CCB - Teller - Part Time - Connecticut South/Central - Hire Ahead,Big Data,42,Fintech
13534,JP Morgan,CCB - Teller - Part Time - Connecticut South/Central - Hire Ahead,Big Data,42,Fintech
13535,JP Morgan,CCB - Teller - Part Time - Bilingual in English/Spanish Required Westchester Southeast - Hire Ahead (G5),Big Data,42,Fintech
13536,JP Morgan,CCB - Teller - Part Time - Bilingual in English/Spanish Required Westchester Southeast - Hire Ahead (G5),Big Data,42,Fintech
13537,JP Morgan,CCB - Teller - Part Time - Bilingual in English/Spanish Required Westchester Southeast - Hire Ahead (G5),Big Data,42,Fintech
13538,JP Morgan,"Teller - Part Time - Connecticut Northeast Market - New Haven, Stratford, and Bridgeport Locations",Big Data,42,Fintech
13539,JP Morgan,"Teller - Part Time - Connecticut Northeast Market - New Haven, Stratford, and Bridgeport Locations - Spanish Required",Big Data,42,Fintech
13540,JP Morgan,"CCB - Teller - CT, Northeast Market - Danbury/ Newtown locations",Big Data,42,Fintech
13541,JP Morgan,"CCB - Teller - CT, Northeast Market - Danbury/ Newtown locations",Big Data,42,Fintech
13542,JP Morgan,Senior Java Developer - Infra,﻿Payments,42,Fintech
13543,JP Morgan,"2019 Military Pathways Analyst Program - Wealth Management, Client Information Analyst",﻿Payments,70,Fintech
13544,JP Morgan,"2019 Military Pathways Analyst Program - Wealth Management, Client Information Analyst",﻿Payments,70,Fintech
13545,JP Morgan,Corporate Finance & Business Management â Financial Associate,Non-FinTech,14,Nonfintech
13546,JP Morgan,Legal - Paralegal III - Auto Finance Litigation,Non-FinTech,11,Nonfintech
13547,JP Morgan,"Legal- VP, Assistant General Counsel- Treasury Services, CIB Law",﻿Payments,23,Fintech
13548,JP Morgan,Agile Transformation Process Coach,﻿Payments,30,Fintech
13549,JP Morgan,Software Engineer,Blockchain,33,Fintech
13550,JP Morgan,Oracle HCM Pay & Time Implementation Engineer,﻿Payments,63,Fintech
13551,JP Morgan,Securities Services - Private Equity Fund Accountant  - Analyst,﻿Payments,30,Fintech
13552,JP Morgan,"Wealth Management | U.S. Private Bank | Client Service Strategy & Transformation, VP Product Owner - Houston, Chicago, Newark, DE or Scottsdale, AZ",﻿Payments,53,Fintech
